x,z
232,-1.045376003
233,-1.045376003
234,-1.045376003
235,-1.045376003
236,-1.045376003
237,-1.045376003
238,-1.045376003
239,-1.045376003
240,-1.045376003
241,-1.045376003
242,-1.045376003
243,-1.045376003
244,-1.045376003
245,-1.045376003
246,-1.045376003
247,-1.045376003
248,-1.045376003
249,-1.045376003
250,-1.045376003
251,-1.045376003
252,-1.045376003
253,-1.045376003
254,-1.045376003
255,-1.045376003
256,-1.045376003
257,-1.045376003
258,-1.045376003
259,-1.045376003
260,-1.045376003
261,-1.045376003
262,-1.045376003
263,-1.045376003
264,-1.045376003
265,-1.045376003
266,-1.045376003
267,-1.045376003
268,-1.045376003
269,-1.045376003
270,-1.045376003
271,-1.045376003
272,-1.045376003
273,-1.045376003
274,-1.045376003
275,-1.045376003
276,-1.045376003
277,-1.045376003
278,-1.045376003
279,-1.045376003
280,-1.045376003
281,-1.045376003
282,-1.045376003
283,-1.045376003
284,-1.045376003
285,-1.045376003
286,-1.045376003
287,-1.045376003
288,-1.045376003
289,-1.045376003
290,-1.045376003
291,-1.045376003
292,-1.045376003
293,-1.045376003
294,-1.045376003
295,-1.045376003
296,-1.045376003
297,-1.045376003
298,-1.045376003
299,-1.045376003
300,-1.045376003
301,-1.045376003
302,-1.045376003
303,-1.045376003
304,-1.045376003
305,-1.045376003
306,-1.045376003
307,-1.045376003
308,-1.045376003
309,-1.045376003
310,-1.045376003
311,-1.045376003
312,-1.045376003
313,-1.045376003
314,-1.045376003
315,-1.045376003
316,-1.045376003
317,-1.045376003
318,-1.045376003
319,-1.045376003
320,-1.045376003
321,-1.045376003
322,-1.045376003
323,-1.045376003
324,-1.045376003
325,-1.045376003
326,-1.045376003
327,-1.045376003
328,-1.045376003
329,-1.045376003
330,-1.045376003
331,-1.045376003
332,-1.045376003
333,-1.045376003
334,-1.045376003
335,-1.045376003
336,-1.045376003
337,-1.045376003
338,-1.045376003
339,-1.045376003
340,-1.045376003
341,-1.045376003
342,-1.045376003
343,-1.045376003
344,-1.045376003
345,-1.045376003
346,-1.045376003
347,-1.045376003
348,-1.045376003
349,-1.045376003
350,-1.045376003
351,-1.045376003
352,-1.045376003
353,-1.045376003
354,-1.045376003
355,-1.045376003
356,-1.045376003
357,-1.045376003
358,-1.045376003
359,-1.045376003
360,-1.045376003
361,-1.045376003
362,-1.045376003
363,-1.045376003
